Indicateur,Année,Sexe,Classe_d_age,Diplôme,Nouvelles régions,PCS ,Situation financière perçue,Estimation,ic_inf,ic_sup,Effectif Brut,Différence avec les autres régions,Chapitre,Situation professionnelle,Type de ménage,IC 95%
Pensées suicidaires au cours des 12 derniers mois,2024,Tous,18-29 ans,Tous,Tous,Tous,Tous,8.6,7.8,9.5,6152,,Conduites suicidaires,Tous,Tous,"[ 7,8 - 9,5 ]"
Pensées suicidaires au cours des 12 derniers mois,2024,Tous,40-49 ans,Tous,Tous,Tous,Tous,5.3,4.7,6.0,6234,,Conduites suicidaires,Tous,Tous,"[ 4,7 - 6,0 ]"
Pensées suicidaires au cours des 12 derniers mois,2024,Tous,60-69 ans,Tous,Tous,Tous,Tous,2.6,2.1,3.0,6116,,Conduites suicidaires,Tous,Tous,"[ 2,1 - 3,0 ]"
Pensées suicidaires au cours des 12 derniers mois,2024,Tous,70-79 ans,Tous,Tous,Tous,Tous,2.9,2.3,3.7,4085,,Conduites suicidaires,Tous,Tous,"[ 2,3 - 3,7 ]"
Pensées suicidaires au cours des 12 derniers mois,2024,Tous,30-39 ans,Tous,Tous,Tous,Tous,5.4,4.8,6.1,5794,,Conduites suicidaires,Tous,Tous,"[ 4,8 - 6,1 ]"
Pensées suicidaires au cours des 12 derniers mois,2024,Tous,50-59 ans,Tous,Tous,Tous,Tous,5.7,5.0,6.4,6559,,Conduites suicidaires,Tous,Tous,"[ 5,0 - 6,4 ]"
